PlayerName,Post,Age,MarketValue,Nationality,Left,Current_team,Fee
Umut Güneş,Central Midfield,24,2.30m,Türkiye,Trabzonspor,Basaksehir FK,2.00m
Matías Reali,Right Winger,26,2.30m,Argentina,CS Independiente Rivadavia,CA San Lorenzo de Almagro,1.68m
Ebrima Colley,Right Winger,24,2.30m,The Gambia,Atalanta BC,BSC Young Boys,1.65m
Emir Sahiti,Right Winger,25,2.30m,Kosovo,HNK Hajduk Split,Hamburger SV,1.20m
Lucas González,Central Midfield,24,2.30m,Argentina,CA Independiente,Defensa y Justicia,1.05m
Tomás Durso,Goalkeeper,25,2.30m,Argentina,Club de Gimnasia y Esgrima La Plata,Club Atlético Tucumán,100k
Emanuele Valeri,Left-Back,25,2.30m,Italy,Frosinone Calcio,Parma Calcio 1913,free transfer
Virgil Misidjan,Left Winger,31,2.30m,Suriname,Al-Tai FC,Ferencvárosi TC,free transfer
Alfons Sampsted,Right-Back,26,2.30m,Iceland,Twente Enschede FC,Birmingham City,loan transfer
Antonio Candela,Right-Back,24,2.30m,Italy,Venezia FC,Real Valladolid CF,loan transfer
Joshua King,Centre-Forward,32,2.30m,Norway,Fenerbahce,FC Toulouse,free transfer
Filip Prebsl,Defensive Midfield,21,2.30m,Czech Republic,SK Slavia Prague,Górnik Zabrze,loan transfer
Valber Huerta,Centre-Back,30,2.30m,Chile,Deportivo Toluca,CD Universidad Católica,free transfer
Dijon Kameri,Attacking Midfield,20,2.30m,Austria,Red Bull Salzburg,SCR Altach,loan transfer
Othmane Boussaid,Left Winger,24,2.30m,Belgium,FC Utrecht,Al-Nasr SC (UAE),free transfer
Cristian Tello,Left Winger,33,2.30m,Spain,Al-Fateh SC,Al-Orobah FC,free transfer
Álex Collado,Right Winger,25,2.30m,Spain,Real Betis Balompié,Al-Kholood Club,loan transfer
Johan Rojas,Attacking Midfield,21,2.00m,Colombia,CD La Equidad Seguros SA,CF Monterrey,0
Alex Paulsen,Goalkeeper,21,450k,New Zealand,Wellington Phoenix,AFC Bournemouth,0
Luis Binks,Centre-Back,22,2.20m,England,Bologna FC 1909,Coventry City,0
Simion Michez,Right Midfield,22,900k,Cameroon,Beerschot VA,SK Slavia Prague,0
Alex Santana,Central Midfield,29,2.00m,Brazil,Club Athletico Paranaense,Sport Club Corinthians Paulista,0
Pedro Mendes,Centre-Forward,24,1.80m,Portugal,Ascoli Calcio,Modena FC,0
André Luiz,Right Winger,22,1.50m,Brazil,CF Estrela Amadora,Rio Ave FC,0
Juan Berrocal,Centre-Back,25,1.00m,Spain,SD Eibar,Getafe CF,0
Aiham Ousou,Centre-Back,24,2.20m,Syria,SK Slavia Prague,R Charleroi SC,1.80m
Miguel Navarro,Left-Back,25,2.20m,Venezuela,Colorado Rapids,CA Talleres,1.75m
Ravil Tagir,Centre-Back,21,2.20m,Türkiye,Basaksehir FK,Al-Jazira Club,1.70m
Johan Mojica,Left-Back,31,2.20m,Colombia,Villarreal CF,RCD Mallorca,1.50m
Joao Ortiz,Defensive Midfield,28,2.20m,Ecuador,Independiente del Valle,Portland Timbers,1.50m
Eric-Junior Bocat,Left-Back,24,2.20m,France,Sint-Truidense VV,Stoke City,1.20m
Josh Laurent,Central Midfield,29,2.20m,England,Stoke City,Burnley FC,1.19m
Ignacio Rodríguez,Left Midfield,22,2.20m,Argentina,CA Banfield,Racing Club,1.15m
Stanko Juric,Defensive Midfield,27,2.20m,Croatia,Parma Calcio 1913,Real Valladolid CF,950k
Manolis Siopis,Defensive Midfield,30,2.20m,Greece,Cardiff City,Panathinaikos FC,800k
Otabek Shukurov,Central Midfield,28,2.20m,Uzbekistan,Kayserispor,Al-Fayha FC,400k
Stefan Kovac,Central Midfield,25,2.20m,Bosnia-Herzegovina,FK Cukaricki,FK Partizan Belgrade,350k
Mohamed Bouldini,Centre-Forward,28,2.20m,Morocco,Levante UD,Deportivo de La Coruña,300k
Yahia Attiyat Allah,Left-Back,29,2.20m,Morocco,FC Sochi,Al Ahly FC,Loan fee:200k
Mateusz Wieteska,Centre-Back,27,2.20m,Poland,Cagliari Calcio,PAOK Thessaloniki,Loan fee:150k
Hamdy Fathy,Central Midfield,30,2.20m,Egypt,Al-Wakrah SC,Al Ahly FC,loan transfer
Callum O'Hare,Attacking Midfield,26,2.20m,England,Coventry City,Sheffield United,free transfer
Ezequiel Bullaude,Attacking Midfield,23,2.20m,Argentina,Feyenoord Rotterdam,Fortuna Sittard,loan transfer
Jan Mlakar,Left Winger,26,2.20m,Slovenia,Pisa Sporting Club,HNK Hajduk Split,loan transfer
Kaine Kesler-Hayden,Right-Back,21,2.20m,England,Aston Villa,Preston North End,loan transfer
Ashley Phillips,Centre-Back,19,2.20m,England,Tottenham Hotspur,Stoke City,loan transfer
Marcelo Morales,Left-Back,21,2.20m,Chile,Club Universidad de Chile,New York Red Bulls,free transfer
Unai Vencedor,Central Midfield,23,2.20m,Spain,Athletic Bilbao,Racing Santander,loan transfer
Alfie Devine,Attacking Midfield,20,2.20m,England,Tottenham Hotspur,KVC Westerlo,loan transfer
Siriki Dembélé,Left Winger,27,2.20m,Scotland,Birmingham City,Oxford United,?
Ante Rebić,Left Winger,30,2.20m,Croatia,Besiktas JK,US Lecce,free transfer
Gyrano Kerk,Right Winger,28,2.20m,Suriname,Lokomotiv Moscow,Royal Antwerp FC,free transfer
Iddrisu Baba,Central Midfield,28,2.20m,Ghana,RCD Mallorca,UD Almería,free transfer
Aké Loba,Centre-Forward,26,2.20m,Cote d'Ivoire,Club Tijuana,Querétaro FC,loan transfer
Giuseppe Ambrosino,Centre-Forward,20,2.20m,Italy,SSC Napoli,Frosinone Calcio,loan transfer
Wesley Hoedt,Centre-Back,30,2.20m,Netherlands,Watford FC,Al-Shabab FC,?
Abdelhamid Sabiri,Attacking Midfield,27,2.20m,Morocco,ACF Fiorentina,Ajman Club,loan transfer
Lukas Engel,Left-Back,26,2.20m,Denmark,Middlesbrough FC,FC Cincinnati,loan transfer
Conrad Wallem,Right Midfield,24,2.20m,Norway,SK Slavia Prague,St. Louis CITY SC,loan transfer
Juan Córdoba,Right Winger,21,1.20m,Colombia,Deportivo Cali,GNK Dinamo Zagreb,0
Dorukhan Toköz,Central Midfield,28,2.10m,Türkiye,Adana Demirspor,Eyüpspor,free transfer
Thaciano,Attacking Midfield,29,2.00m,Brazil,Esporte Clube Bahia,Santos FC,0
